9517043,LABIAL HIDRATANTE PURE RED,22,132.03,139.37,131.71,124.06,116.40,108.74,146.55,170.00
9517044,LABIAL HIDRATANTE WINE BERRY,22,132.03,139.37,131.71,124.06,116.40,108.74,146.55,170.00
9517045,LABIAL HIDRATANTE COCOA,22,132.03,139.37,131.71,124.06,116.40,108.74,146.55,170.00
9517046,LABIAL HIDRATANTE SILVER ROSE,22,132.03,139.37,131.71,124.06,116.40,108.74,146.55,170.00
9515041,BRILLO LABIAL COTTON CANDY,31,190.28,200.86,189.82,178.79,167.75,156.72,211.21,245.00
9515042,BRILLO LABIAL WATERMELON PUNCH,31,190.28,200.86,189.82,178.79,167.75,156.72,211.21,245.00
9515043,BRILLO LABIAL JUICY APPLE,31,190.28,200.86,189.82,178.79,167.75,156.72,211.21,245.00
9515044,BRILLO LABIAL VERY BERRY,31,190.28,200.86,189.82,178.79,167.75,156.72,211.21,245.00
9515045,BRILLO LABIAL RED PASSION,31,190.28,200.86,189.82,178.79,167.75,156.72,211.21,245.00
9515046,BRILLO LABIAL FUNKY PINK,31,190.28,200.86,189.82,178.79,167.75,156.72,211.21,245.00
9504032,SHAMPOO CON EXTRACTOS HERBALES,19,120.38,127.07,120.09,113.11,106.13,99.15,133.62,155.00
9504033,ACONDICIONADOR CON EXTRACTOS HERBALES,19,120.38,127.07,120.09,113.11,106.13,99.15,133.62,155.00
9504039,SHAMPOO DE CUIDADO ESPECIAL PARA CABELLO DÉBIL,28,178.63,188.56,178.20,167.84,157.48,147.12,198.28,230.00
9504040,SHAMPOO COLOR PROTECT,28,178.63,188.56,178.20,167.84,157.48,147.12,198.28,230.00
9504031,GEL FIJADOR PARA EL CABELLO,14,87.76,92.64,87.55,82.46,77.37,72.28,97.41,113.00
9504034,COMPLEJO MULTIVITAMÍNICO CAPILAR,49,299.01,315.63,298.29,280.95,263.61,246.27,331.90,385.00
9504035,MASCARILLA REPARADORA CAPILAR,28,174.74,184.46,174.32,164.19,154.05,143.91,193.96,225.00
9518031,TINTE CASTAÑO OSCURO,26,170.86,180.36,170.45,160.54,150.63,140.72,189.65,220.00
9518032,TINTE CASTAÑO CLARO,26,170.86,180.36,170.45,160.54,150.63,140.72,189.65,220.00
9518033,TINTE NEGRO NATURAL,26,170.86,180.36,170.45,160.54,150.63,140.72,189.65,220.00
9518034,TINTE MOKA,26,170.86,180.36,170.45,160.54,150.63,140.72,189.65,220.00
9518035,TINTE ROJO INTENSO,26,170.86,180.36,170.45,160.54,150.63,140.72,189.65,220.00
9518036,TINTE RUBIO OSCURO,26,170.86,180.36,170.45,160.54,150.63,140.72,189.65,220.00
9518037,TINTE RUBIO CLARO,26,170.86,180.36,170.45,160.54,150.63,140.72,189.65,220.00
9501120,BARRA ILUMINADORA KAUS,48,264.06,278.74,263.42,248.11,232.80,217.49,293.11,340.00
9501121,BARRA ILUMINADORA KUMA,48,264.06,278.74,263.42,248.11,232.80,217.49,293.11,340.00
9419372,SET DE ESMALTES PARA UÑAS,78,454.33,479.59,453.24,426.89,400.54,374.19,504.31,585.00
9517050,LABIAL LIQUIDO MATE SAMBURU,36,209.69,221.35,209.19,197.02,184.86,172.70,232.76,270.00
9517051,LABIAL LIQUIDO MATE NAIROBI,36,209.69,221.35,209.19,197.02,184.86,172.70,232.76,270.00
9517052,LABIAL LIQUIDO MATE KALAHARI,36,209.69,221.35,209.19,197.02,184.86,172.70,232.76,270.00
9517053,LABIAL LIQUIDO MATE MASAI,36,209.69,221.35,209.19,197.02,184.86,172.70,232.76,270.00
9517506,LABIAL LIQUIDO MATE GOBI,36,209.69,221.35,209.19,197.02,184.86,172.70,232.76,270.00
9517507,LABIAL LIQUIDO MATE SAHARA,36,209.69,221.35,209.19,197.02,184.86,172.70,232.76,270.00
9517508,LABIAL LIQUIDO MATE ATACAMA,36,209.69,221.35,209.19,197.02,184.86,172.70,232.76,270.00
9501137,LOCIÓN REFRESCANTE TELAVIV,36,225.23,237.75,224.69,211.63,198.56,185.50,250.01,290.00
9501138,LOCIÓN REFRESCANTE JAFFA,36,225.23,237.75,224.69,211.63,198.56,185.50,250.01,290.00
9501139,LOCIÓN REFRESCANTE HAIFA,36,225.23,237.75,224.69,211.63,198.56,185.50,250.01,290.00
9501147,LOCIÓN REFRESCANTE BURDEOS,36,225.23,237.75,224.69,211.63,198.56,185.50,250.01,290.00
9501148,LOCIÓN REFRESCANTE CANNES,36,225.23,237.75,224.69,211.63,198.56,185.50,250.01,290.00
